Qty,Value,Device,Package,Parts,Description,DIGIKEY,MANUFACTURER,MF,MOUSER,MPN,NEWARK,OC_FARNELL,OC_NEWARK,POPULARITY,SPICEPREFIX,TP_SIGNAL_NAME,VENDOR
1,,M024UCON-15767,JST-2-SMD-VERT,JP1,,455-1734-1-ND,JST Sales America Inc.,,,B2B-PH-SM4-TB(LF)(SN),,,,,,,
1,,MS518SE,MS518SE-FL35E,B1,,,,,,,,,,,,,
9,0.1uF,CAPACITOR_0603_L,RESC0603_L,"C22, C23, C24, C25, C26, C27,C28, C29, C30",Capacitor,490-5405-1-ND,Murata Electronics,,,GRM033R61A104ME15D,,,,,,,
1,0.82uF,CAPACITOR_0603_L,RESC0603_L,C31,Capacitor,399-3117-1-ND,KEMET,,,C0603C824K8PACTU,,,,,,,
1,1.3M,R-US_R0603,R0603,R36,Resistor,YAG3326CT-ND,Yageo,,,RC0603FR-071M3L,,,,,,,
4,100,R-US_R0603,R0603,"R3, R4, R5, R6",Resistor,311-100HRCT-ND,Yageo,,,RC0603FR-07100RL,,,,,,,
6,100k,R-US_R0603,R0603,"R26, R27, R28, R29, R30, R31",Resistor,311-100KGRCT-ND,Yageo,,,RC0603JR-07100KL,,,,,,,
1,100pF,CAPACITOR_0603_L,RESC0603_L,C14,Capacitor,311-1069-1-ND,Yageo,,,CC0603JRNPO9BN101,,,,,,,
1,100uF,C-USC1210,C1210,C46,Capacitor,490-9969-1-ND,Murata Electronics,,,GRM32ER61A107ME20L,,,,,,,
1,10M,R-US_R0603,R0603,R38,Resistor,311-10MGRCT-ND,Yageo,,,RC0603JR-0710ML,,,,,,,
12,10k,R-US_R0603,R0603,"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25",Resistor,311-10KGRCT-ND,Yageo,,,RC0603JR-0710KL,,,,,,,
5,10nF,CAPACITOR_0603_L,RESC0603_L,"C16, C17, C18, C19, C20",Capacitor,490-7194-1-ND,Murata Electronics,,,GRM033R61E103KA12D,,,,,,,
4,10uF,CAPACITOR_0603_L,RESC0603_L,"C42, C43, C44, C45",Capacitor,490-12538-1-ND,Murata Electronics,,,GRM188R60J106KE47D,,,,,,,
1,10uH,INDUCTOR_0603_M,RESC0603_M,L4,Generic chip inductor,587-1720-1-ND,Taiyo Yuden,,,CBMF1608T100K,,,,,,,
